,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,sq_particles,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
69,0.743,72,72_0,4.300392374345089,1.2771767627168529,4.486106700416094,1.0,0.6892415763758004,0.6955555662563148,0.9908664897543161,0.23568131267206616,0.670846973267338,625000000,COMPLETED,GPKG,84.680546,0.7423130884494253,0.007485574827344488
70,0.751,73,73_0,4.284801605540405,1.0,5.0,1.0,0.7216395706125315,0.728998710531457,0.8423441367075314,0.22896895371580553,0.6059607149139089,62500000000,COMPLETED,GPKG,18664.725067,0.749332428953081,0.007202555926154163
71,0.702,74,74_0,4.359119902748139,2.113300563047966,3.615508281474999,0.7602133449154322,0.9409315860165343,0.31773669254507375,0.7779401273295334,0.47499117860989054,0.29279814789582703,62500000000,COMPLETED,GPKG,17499.77757,0.7012421440459872,0.009009978135459906
72,0.74,75,75_0,4.409775226911815,1.287801619792851,4.572729079363212,0.9450561345585364,0.7839332800588753,0.7069029359662101,0.9161205474158095,0.24723874599562454,1.0,62500000000,COMPLETED,GPKG,17176.828545,0.7423993499773349,0.00716807070819352
73,0.675,76,76_0,2.146941550660343,3.352344754802663,4.872800965704325,0.7519987036174371,0.44682590890455154,0.5087394879890821,0.22960904739107296,0.8476724599242279,0.45871549357349073,62500000000,COMPLETED,GPKG,8193.293624,0.6722966945387486,0.009582054991227001
74,0.729,77,77_0,4.272987220879944,1.2511527263415434,4.719178112994706,0.9193716173255314,0.6972194549136838,0.828506281943684,0.8872457664731159,0.22749203196000192,0.805755025168184,62500000000,COMPLETED,GPKG,12087.074807,0.73824449757333,0.006749362892974565
76,0.735,78,78_0,4.346460344587506,1.0,4.345251208891623,0.8507125832214942,0.6628866360360178,0.6860834969233687,1.0,0.18420890995887473,0.7151364124154074,62500000000,COMPLETED,GPKG,12237.097359,0.7398752145043808,0.008016207872098039
77,0.669,79,79_0,3.603340586373909,4.224899997183578,3.0495732702340765,0.7876821361218267,0.28768506894545953,0.6623123123014036,0.5271891906086452,0.2287741430636799,0.4507782067402779,62500000000,COMPLETED,GPKG,18045.141223,0.6671610445525263,0.00951918138891246
78,0.757,80,80_0,4.584539692257969,1.0,4.332560988315656,1.0,0.8669265971339434,0.732166275038588,1.0,0.2428437591948838,0.884871744948116,62500000000,COMPLETED,GPKG,27212.38353,0.7531371852837145,0.00796838730343545
79,0.749,81,81_0,4.015237597665159,1.0,4.248229630706442,1.0,0.7913863348178011,0.6351065807938563,0.9851912906798163,0.27126274221846763,0.6058719190695161,62500000000,COMPLETED,GPKG,19371.479321,0.7456699810862399,0.007796340614661389
80,0.668,82,82_0,2.1073885030806196,1.4643582528676697,2.0677933580542778,1.0,0.5406504454959782,0.4537833589519408,0.873769165340754,0.3071382606914168,0.330034156960046,62500000000,COMPLETED,GPKG,3017.066063,0.6661583497856073,0.009539354158358444
81,0.749,83,83_0,4.469310978233102,1.0,5.0,1.0,0.7407376769924968,0.7200634058834655,0.9198958142092161,0.21774729884905294,0.9827417454605922,62500000000,COMPLETED,GPKG,17766.812388,0.7509519236900253,0.007019560378237052
82,0.738,84,84_0,4.354732754976515,1.2450091135576897,5.0,1.0,0.8246290131745722,0.7335473913060487,0.9130836383674946,0.23806101287960466,0.6250223281890478,62500000000,COMPLETED,GPKG,19625.087,0.7393703582943854,0.007468059132082407
83,0.75,85,85_0,4.561471038030268,1.0,4.106517585220355,1.0,0.6977328318790632,0.6885679974761488,0.9147634319609305,0.14501835522313122,0.7220030595034178,62500000000,COMPLETED,GPKG,16074.129073,0.7471569210001926,0.007854231069236483
84,0.718,86,86_0,4.146053008360591,1.000243433487797,4.0903599388305025,1.0,0.6596729460447827,0.7378792292934673,0.9641832740920555,0.31400407511757217,0.8274505343317589,625000000,COMPLETED,GPKG,89.86736,0.7220844010829849,0.008234530084388951
85,0.754,87,87_0,4.4372585197388315,1.0,4.538143021975708,0.8729418593115402,0.8726272040451322,0.6974924075909715,0.9884952402126563,0.279899739700667,0.6370754697401543,60998610181,COMPLETED,GPKG,24913.580859,0.7495228007198553,0.008311181228246367
86,0.695,88,88_0,3.9495825299502227,1.255482516808919,4.2766366075848845,1.0,0.8670045822859656,0.6845896550423164,1.0,0.19370290569260817,0.6731830152245429,625000000,COMPLETED,GPKG,100.79768,0.7041836395796556,0.008453879855744806
88,0.752,89,89_0,4.250823949836198,1.0,5.0,1.0,0.7199038175086494,0.5391768345107195,1.0,0.2386549282693618,0.836773693147389,62500000000,COMPLETED,GPKG,17554.308587,0.7538046120301076,0.007443598044262432
89,0.764,90,90_0,4.503069087094611,1.0,4.618242298939013,0.9420703062247202,0.7149859154331227,0.5927579502530824,0.8659651860688499,0.22101069251669322,0.4748785199788784,59412111188,COMPLETED,GPKG,16272.375248,0.7572260656160883,0.007549505680778044
90,0.769,91,91_0,4.831579502257513,1.0220053666362539,4.372860006901404,0.9609885149044461,0.7716782957308653,0.5789559408015268,0.9358042767272408,0.2131748786409706,0.8486231002538733,625000000,COMPLETED,GPKG,112.894016,0.7571722229417728,0.006724759533608613
91,0.733,92,92_0,5.0,1.0195553422695771,4.2918242140274865,0.9390633727728346,0.7563685989503698,0.5386924035872018,1.0,0.1303757024146942,0.9666137411771513,625000000,COMPLETED,GPKG,112.921505,0.733774774326945,0.008700882913278325
92,0.707,93,93_0,5.0,1.0,4.597383668457525,1.0,0.8226189689965738,0.6356178075031473,0.8697061837851991,0.29315657893676333,0.7050241600411482,625000000,COMPLETED,GPKG,135.456563,0.7143500490417131,0.008673648575028104
93,0.766,94,94_0,4.399544400403154,1.0,4.150404387053063,1.0,0.7301029605148408,0.43338821533653293,0.9027929992595346,0.21107514353456786,0.934213407322978,625000000,COMPLETED,GPKG,114.220334,0.7571078782274894,0.007449676684930589
94,0.542,95,95_0,4.815150943334734,4.933908494576837,4.770269091872795,0.13865397073573904,0.17970326903490325,0.5657213633110038,0.28121056206219935,0.5083813563047032,0.6519137704793446,62500000000,COMPLETED,GPKG,1302.619728,0.5505629329811339,0.00958276961723793
95,0.757,96,96_0,4.5889880156408935,1.0,3.7319954114525604,0.9846518138916821,0.7535793533988887,0.4259916941421211,1.0,0.2121691992731526,0.822707610631716,62500000000,COMPLETED,GPKG,16435.985508,0.7556760891625992,0.008223452367549025
96,0.741,97,97_0,4.581721876809844,1.0524289523675996,4.8685572382566775,1.0,0.7304932698648904,0.3873978843387077,0.8906576238190675,0.18775853771487055,0.7581397704716151,62500000000,COMPLETED,GPKG,16434.587966,0.7444651688074443,0.008043584564815685
97,0.725,98,98_0,4.6841125464311535,1.158170842066592,4.162180222790458,1.0,0.6671594974506208,0.5367938245799322,0.8590953398865575,0.1908919347948402,0.9516071795398366,625000000,COMPLETED,GPKG,201.046046,0.7339542708075627,0.007776351407841155
98,0.637,99,99_0,4.029705735202561,2.5546717510450203,3.967005406076971,0.16897211686811478,0.4156433625022937,0.7766990469760341,0.8063757457050552,0.923355504617862,0.6701900789612186,62500000000,COMPLETED,GPKG,3282.897162,0.6372365175998218,0.00955324730119824
